Number	Part A	Part B	Part C
348	No!	Even	Composite
238	Yes!	Even	Composite
351	Yes!	Odd	Composite
452	No!	Even	Composite
26	Yes!	Even	Composite
2	No!	Even	Prime
223	No!	Odd	Prime
58	No!	Even	Composite
333	No!	Odd	Composite
315	Yes!	Odd	Composite
328	No!	Even	Composite
7	Yes!	Odd	Prime
307	No!	Odd	Prime
458	No!	Even	Composite
119	Yes!	Odd	Composite
282	No!	Even	Composite
247	Yes!	Odd	Composite
398	No!	Even	Composite
132	Yes!	Even	Composite
500	No!	Even	Composite
326	No!	Even	Composite
10	No!	Even	Composite
341	Yes!	Odd	Composite
198	Yes!	Even	Composite
406	Yes!	Even	Composite
325	Yes!	Odd	Composite
278	No!	Even	Composite
92	No!	Even	Composite
269	No!	Odd	Prime
288	No!	Even	Composite
212	No!	Even	Composite
162	No!	Even	Composite
434	Yes!	Even	Composite
229	No!	Odd	Prime
491	No!	Odd	Prime
399	Yes!	Odd	Composite
362	No!	Even	Composite
35	Yes!	Odd	Composite
453	No!	Odd	Composite
222	No!	Even	Composite
