Number	Part A	Part B	Part C
123487	Yes!	Odd	Composite
541	No!	Odd	Prime
2	No!	Even	Prime
345	No!	Odd	Composite
871	Yes!	Odd	Composite
26	Yes!	Even	Composite
53	No!	Odd	Prime
7	Yes!	Odd	Prime
4612	No!	Even	Composite
534	No!	Even	Composite
76	No!	Even	Composite
12	No!	Even	Composite
8376	No!	Even	Composite
42	Yes!	Even	Composite
3985	No!	Odd	Composite
672	Yes!	Even	Composite
3	No!	Odd	Prime
876	No!	Even	Composite
4123	Yes!	Odd	Composite
465	No!	Odd	Composite
28	Yes!	Even	Composite
963	No!	Odd	Composite
692	No!	Even	Composite
354	No!	Even	Composite
765	No!	Odd	Composite
123	No!	Odd	Composite
74	No!	Even	Composite
700	Yes!	Even	Composite
